Sentence,Topic scores,Assigned topic
"['(', '2009', ')', 'genetic', 'architecture', 'maize', 'flowering', 'time', '.']","[0.6592227154645239, 0.3225421425917392, 0.3585956927849696, 0, 0, 0, 0.9817648580562631, 0, 0.6592227154645239, 0]",6
"['Science', '325', ':', '714–718', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6
"['5', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['Bolanos', 'J', ',', 'Edmeades', 'GO', '(', '1996', ')', 'importance', 'anthesis-silking', 'interval', 'breeding', 'drought', 'tolerance', 'tropical', 'maize', '.']","[0, 0.151341405282384, 0, 0, 0, 0, 0.151341405282384, 0, 0, 0]",6
"['Field', 'Crops', 'Research', '48', ':', '65–80', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",9
"['6', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['Brachi', 'B', ',', 'Faure', 'N', ',', 'Horton', ',', 'Flahauw', 'E', ',', 'Vazquez', ',', 'et', 'al', '.']","[0, 0.46998015412802535, 0, 0, 0, 0, 0, 0.46998015412802535, 0, 0.46998015412802535]",9
"['(', '2010', ')', 'Linkage', 'Association', 'Mapping', 'Arabidopsis', 'thaliana', 'Flowering', 'Time', 'Nature', '.']","[0.44155423013762596, 0, 0, 0, 0, 0, 0.44155423013762596, 0, 0.6845550605556091, 0]",4
"['PLoS', 'Genet', '6', ':', 'e1000940', '.']","[0.4751505694683856, 0, 0, 0, 0.48745375105760136, 0, 0, 0, 0, 0.9626043205259869]",9
"['7', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['Lin', 'YR', ',', 'Schertz', 'KF', ',', 'Paterson', 'AH', '(', '1995', ')', 'Comparative', 'analysis', 'QTLs', 'affecting', 'plant', 'height', 'maturity', 'across', 'Poaceae', ',', 'reference', 'interspecific', 'sorghum', 'population', '.']","[0, 0, 0, 0.16744721585095407, 0, 0, 0, 0, 0, 0]",3
"['Genetics', '141', ':', '391–411', '.']","[0, 0, 0, 0.3347136473445351, 0, 0, 0, 0, 0, 0]",3
"['8', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['Yano', ',', 'Harushima', ',', 'Nagamura', ',', 'Kurata', 'N', ',', 'Minobe', ',', 'et', 'al', '.']","[0, 0.4654320039809763, 0, 0, 0, 0, 0, 0.4654320039809763, 0, 0.4654320039809763]",4
"['(', '1997', ')', 'Identification', 'quantitative', 'trait', 'locus', 'controlling', 'heading', 'date', 'rice', 'using', 'high-density', 'linkage', 'map', '.']","[0, 0, 0, 0, 0, 0, 0.3906512161256982, 0, 0, 0]",6
"['Theor', 'Appl', 'Genet', '95', ':', '1025–1032', '.']","[0, 0, 0, 0.3772145372820387, 1.1204244821280902, 0, 0, 0, 0, 0.35099192300268256]",4
"['9', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['Turner', ',', 'Beales', 'J', ',', 'Faure', ',', 'Dunford', 'RP', ',', 'Laurie', 'DA', '(', '2005', ')', 'pseudo-', 'response', 'regulator', 'Ppd-H1', 'provides', 'adaptation', 'photoperiod', 'barley', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",8
"['Science', '’', 'STKE', '310', ':', '1031', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
"['10', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",8
"['Chardon', 'F', ',', 'Virlon', 'B', ',', 'Moreau', 'L', ',', 'Falque', ',', 'Joets', 'J', ',', 'et', 'al', '.']","[0, 0.46998015412802535, 0, 0, 0, 0, 0, 0.46998015412802535, 0, 0.46998015412802535]",1
"['(', '2004', ')', 'Genetic', 'architecture', 'flowering', 'time', 'maize', 'inferred', 'Quantitative', 'Trait', 'Loci', 'meta-analysis', 'synteny', 'conservation', 'rice', 'genome', '.']","[0.3187475417431346, 0.15595566209704306, 0.34483343535662647, 0, 0, 0, 0.690519912240548, 0, 0.3187475417431346, 0]",2
"['Genetics', '168', ':', '2169–2185', '.']","[0, 0, 0, 0.3347136473445351, 0, 0, 0, 0, 0, 0]",6
"['11', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0]",9
"['Corbesier', 'L', ',', 'Coupland', 'G', '(', '2006', ')', 'quest', 'florigen', ':', 'review', 'recent', 'progress', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6
"['J', 'Exp', 'Bot', '57', ':', '3395–3403', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3
"['12', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6
"['Zeevaart', 'JAD', '(', '2006', ')', 'Florigen', 'coming', 'age', '70', 'year', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",9
"['Plant', 'Cell', '18', ':', '1783–1789', '.']","[0, 0, 0, 0.33915994577477704, 0, 0, 0, 0, 0, 0]",3
"['13', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['Zeevaart', 'JAD', '(', '1976', ')', 'Physiology', 'flower', 'formation', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4
"['Annu', 'Rev', 'Plant', 'Physiol', '27', ':', '321–348', '.']","[0, 0, 0, 0.2819940065003714, 0, 0, 0, 0, 0, 0]",2
"['14', '.']","[0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0]",7
"['Lazakis', 'CM', ',', 'Coneva', 'V', ',', 'Colasanti', 'J', '(', '2011', ')', 'ZCN8', 'encodes', 'potential', 'orthologue', 'Arabidopsis', 'FT', 'florigen', 'integrates', 'endogenous', 'photoperiod', 'flowering', 'signal', 'maize', '.']","[0.12626700539642613, 0.12626700539642613, 0, 0, 0, 0, 0.25253401079285226, 0, 0.12626700539642613, 0.18377364433610002]",9
"['J', 'Exp', 'Bot', '62', ':', '4833–4842', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5
"['15', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6
"['Banfield', 'MJ', ',', 'Brady', 'RL', '(', '2000', ')', 'structure', 'Antirrhinum', 'centroradialis', 'protein', '(', 'CEN', ')', 'suggests', 'role', 'kinase', 'regulator', '.']","[0, 0, 0.15498702574124631, 0, 0, 0, 0, 0, 0, 0]",1
"['J', 'Mol', 'Biol', '297', ':', '1159–1170', '.']","[0, 0, 0, 0.3657705803393999, 0, 0, 0, 0, 0, 0]",6
"['16', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
"['Mouradov', ',', 'Cremer', 'F', ',', 'Coupland', 'G', '(', '2002', ')', 'Control', 'Flowering', 'Time', '.']","[0.439170832472553, 0, 0, 0, 0, 0, 0.439170832472553, 0, 0.439170832472553, 0]",4
"['Plant', 'Cell', '14', ':', 'S111–S130', '.']","[0, 0, 0, 0.338274193195523, 0, 0, 0, 0.3962773736161815, 0, 0]",8
"['17', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0]",9
"['Danilevskaya', ',', 'Meng', 'X', ',', 'Hou', 'Z', ',', 'Ananiev', 'EV', ',', 'Simmons', 'CR', '(', '2008', ')', 'genomic', 'expression', 'compendium', 'expanded', 'PEBP', 'gene', 'family', 'maize', '.']","[0, 0.1288040168196069, 0, 0, 0, 0, 0.1288040168196069, 0, 0, 0]",8
"['Plant', 'Physiol', '146', ':', '250–264', '.']","[0, 0, 0, 0.32649142033050155, 0, 0, 0, 0, 0, 0]",5
"['18', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4
"['Muszynski', 'MG', ',', 'Dam', ',', 'Li', 'B', ',', 'Shirbroun', 'DM', ',', 'Hou', 'Z', ',', 'et', 'al', '.']","[0, 0.4141153179635389, 0, 0, 0, 0, 0, 0.4141153179635389, 0, 0.4141153179635389]",4
"['(', '2006', ')', 'Delayed', 'flowering1', 'encodes', 'basic', 'leucine', 'zipper', 'protein', 'mediates', 'floral', 'inductive', 'signal', 'shoot', 'apex', 'maize', '.']","[0, 0.13119668881848204, 0, 0, 0, 0, 0.13119668881848204, 0, 0, 0]",3
"['Plant', 'Physiol', '142', ':', '1523–1536', '.']","[0, 0, 0, 0.322327974324326, 0, 0, 0, 0, 0, 0]",3
"['19.', 'van', 'Inghelandt', ',', 'Melchinger', 'AE', ',', 'Martinant', 'JP', ',', 'Stich', 'B', '(', '2012', ')', 'Genome-wide', 'association', 'mapping', 'flowering', 'time', 'northern', 'corn', 'leaf', 'blight', '(', 'Setosphaeria', 'turcica', ')', 'resistance', 'vast', 'commercial', 'maize', 'germplasm', 'set', '.']","[0.22125378074456467, 0.1082542619114514, 0.119006056239076, 0, 0, 0, 0.3295080426560161, 0, 0.34301651968897445, 0]",8
"['BMC', 'Plant', 'Biol', '12', ':', '56', '.']","[0, 0.4602765368052826, 0, 1.7521301723110492, 0, 0, 0, 0, 0, 0]",3
"['20', '.']","[0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0]",4
"['Chardon', 'F', ',', 'Hourcade', ',', 'Combes', 'V', ',', 'Charcosset', '(', '2005', ')', 'Mapping', 'spontaneous', 'mutation', 'early', 'flowering', 'time', 'maize', 'highlight', 'contrasting', 'allelic', 'series', 'two-linked', 'QTL', 'chromosome', '8', '.']","[0.4288377390863386, 0.13265765878461283, 0, 0.20322999560236116, 0, 0.20322999560236116, 0.4037879407020694, 0, 0.2711302819174566, 0]",5
"['Theor', 'Appl', 'Genet', '112', ':', '1–', '11', '.']","[0, 0, 0, 0.4255003351627335, 1.263845757655891, 0, 0, 0, 0, 0.8383454224931576]",4
"['21', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
"['Ducrocq', ',', 'Madur', ',', 'Veyrieras', 'J-B', ',', 'Camus-Kulandaivelu', 'L', ',', 'Kloiber-Maitz', ',', 'et', 'al', '.']","[0, 0.42859703320715103, 0, 0, 0, 0, 0, 0.42859703320715103, 0, 0.42859703320715103]",1
"['(', '2008', ')', 'Key', 'impact', 'Vgt1', 'flowering', 'time', 'adaptation', 'maize', ':', 'Evidence', 'association', 'mapping', 'ecogeographical', 'information', '.']","[0.36971806679931424, 0.505678577823401, 0, 0, 0, 0, 0.5506124058790847, 0, 0.8472433609352766, 0]",5
"['Genetics', '178', ':', '2433–2437', '.']","[0, 0, 0, 0.34145241675024013, 0, 0, 0, 0, 0, 0]",9
"['22', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4
"['Veyrieras', 'J-B', ',', 'Goffinet', 'B', ',', 'Charcosset', '(', '2007', ')', 'MetaQTL', ':', 'package', 'new', 'computational', 'method', 'meta-analysis', 'QTL', 'mapping', 'experiment', '.']","[0, 0, 0, 0.22488064762326243, 0, 0, 0, 0, 0, 0]",3
"['BMC', 'Bioinformatics', '8', ':', '49', '.']","[0, 1.144009432605746, 0, 0.556521760227123, 0, 0, 0, 0, 0, 0]",1
"['23', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0]",9
"['Salvi', ',', 'Castelletti', ',', 'Tuberosa', 'R', '(', '2009', ')', 'updated', 'consensus', 'map', 'flowering', 'time', 'QTLs', 'maize', '.']","[0.35040044671861437, 0.1714426827207937, 0, 0, 0, 0, 0.521843129439408, 0, 0.35040044671861437, 0]",6
"['Maydica', '54', ':', '501', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
"['24', '.']","[0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0]",3
"['Salvi', ',', 'Sponza', 'G', ',', 'Morgante', ',', 'Tomes', ',', 'Niu', 'X', ',', 'et', 'al', '.']","[0, 0.46998015412802535, 0, 0, 0, 0, 0, 0.46998015412802535, 0, 0.46998015412802535]",7
"['(', '2007', ')', 'Conserved', 'noncoding', 'genomic', 'sequence', 'associated', 'flowering-time', 'quantitative', 'trait', 'locus', 'maize', '.']","[0.37854947888769314, 0.18521534093585645, 0, 0, 0, 0, 1.0300659948080968, 0, 0.37854947888769314, 0]",2
"['Proc', 'Natl', 'Acad', 'Sci', 'USA', '104', ':', '11376–11381', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0.3586334359945011, 0]",8
"['26', '.']","[0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0]",7
"['Gianola', ',', 'van', 'Kaam', 'JB', '(', '2008', ')', 'Reproducing', 'kernel', 'Hilbert', 'space', 'regression', 'method', 'genomic', 'assisted', 'prediction', 'quantitative', 'trait', '.']","[0, 0, 0, 0, 0, 0, 0.1853193446875163, 0, 0, 0]",7
"['Genetics', '178', ':', '2289', '.']","[0, 0, 0, 0.41392903303529505, 0, 0, 0, 0, 0, 0]",8
"['27', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
"['Gonzalez-Recio', ',', 'Gianola', ',', 'Long', 'N', ',', 'Weigel', 'KA', ',', 'Rosa', 'GJM', ',', 'et', 'al', '.']","[0, 0.38766499436732016, 0, 0, 0, 0, 0, 0.38766499436732016, 0, 0.38766499436732016]",4
"['(', '2008', ')', 'Nonparametric', 'method', 'incorporating', 'genomic', 'information', 'genetic', 'evaluation', ':', 'application', 'mortality', 'broiler', '.']","[0, 0, 0.17776402050247558, 0, 0, 0, 0, 0, 0, 0]",5
"['Genetics', '178', ':', '2305', '.']","[0, 0, 0, 0.41392903303529505, 0, 0, 0, 0, 0, 0]",5
"['28', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",8
"['Steinhoff', 'J', ',', 'Liu', 'W', ',', 'Reif', 'J', ',', 'Porta', 'G', ',', 'Ranc', 'N', ',', 'et', 'al', '.']","[0, 0.8793242435003862, 0, 0, 0, 0, 0, 0.4828334265240752, 0, 0.4828334265240752]",6
"['(', '2012', ')', 'Detection', 'QTL', 'flowering', 'time', 'multiple', 'family', 'elite', 'maize', '.']","[0.43044283498296476, 0.21060553740299526, 0, 0.32264524213967377, 0, 0, 0.64104837238596, 0, 0.43044283498296476, 0]",4
"['Theor', 'Appl', 'Genet', ':', '1–13', '.']","[0, 0, 0, 0.4828768257247907, 1.4342687354857575, 0, 0, 0, 0, 0.44930894460160475]",4
"['29', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0]",9
"['Flint-Garcia', 'SA', ',', 'Thuillet', 'A-C', ',', 'Yu', 'J', ',', 'Pressoir', 'G', ',', 'Romero', 'SM', ',', 'et', 'al', '.']","[0, 0.4030946387016775, 0, 0, 0, 0, 0, 0.4030946387016775, 0, 0.4030946387016775]",0
"['(', '2005', ')', 'Maize', 'association', 'population', ':', 'high-resolution', 'platform', 'quantitative', 'trait', 'locus', 'dissection', '.']","[0, 0.18878719810516179, 0, 0, 0, 0, 0.6640809391833612, 0, 0.21234495448990484, 0]",2
"['Plant', 'Journal', '44', ':', '1054–1064', '.']","[0, 0, 0, 0.34577347895778376, 0, 0, 0, 0, 0, 0]",0
"['30', '.']","[0, 0, 0, 0, 0, 0, 1.0, 0, 0, 0]",6
"['Camus-Kulandaivelu', 'L', ',', 'Veyrieras', 'JB', ',', 'Madur', ',', 'Combes', 'V', ',', 'Fourmann', ',', 'et', 'al', '.']","[0, 0.438947468282988, 0, 0, 0, 0, 0, 0.438947468282988, 0, 0.438947468282988]",8
"['(', '2006', ')', 'Maize', 'adaptation', 'temperate', 'climate', ':', 'relationship', 'population', 'structure', 'polymorphism', 'Dwarf8', 'gene', '.']","[0, 0.189442047314338, 0.21392735333788884, 0, 0, 0, 0.189442047314338, 0, 0, 0]",0
"['Genetics', '172', ':', '2449–2463', '.']","[0, 0, 0, 0.3292981510892515, 0, 0, 0, 0, 0, 0]",3
"['31', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5
"['Ganal', 'MW', ',', 'Durstewitz', 'G', ',', 'Polley', ',', 'Bzrard', ',', 'Buckler', 'ES', ',', 'et', 'al', '.']","[0, 0.42537716281679483, 0, 0, 0, 0, 0, 0.42537716281679483, 0, 0.42537716281679483]",7
"['(', '2011', ')', 'large', 'maize', '(', 'Zea', 'may', 'L.', ')', 'SNP', 'genotyping', 'array', ':', 'Development', 'germplasm', 'genotyping', ',', 'genetic', 'mapping', 'compare', 'B73', 'reference', 'genome', '.']","[0, 0.14508042731046414, 0.3207872127229629, 0, 0, 0, 0.14508042731046414, 0, 0, 0]",2
"['PLoS', 'ONE', '6', ':', 'e28334', '.']","[0.5441805167897872, 0, 0, 0, 0, 0, 0, 0, 0, 0.5441805167897872]",9
"['32', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
"['Ducrocq', ',', 'Giauffret', 'C', ',', 'Madur', ',', 'Combes', 'V', ',', 'Dumas', 'F', ',', 'et', 'al', '.']","[0, 0.491478017094226, 0, 0, 0, 0, 0, 0.491478017094226, 0, 0.491478017094226]",1
"['(', '2009', ')', 'Fine', 'mapping', 'haplotype', 'structure', 'analysis', 'major', 'flowering', 'time', 'Quantitative', 'Trait', 'Locus', 'maize', 'chromosome', '10', '.']","[0.5990517156506326, 0.18531204426744483, 0.20926354911055559, 0, 0, 0, 1.0306038056230675, 0, 0.37874712448008585, 0]",6
"['Genetics', '183', ':', '1555–1563', '.']","[0, 0, 0, 0.3347136473445351, 0, 0, 0, 0, 0, 0]",6
"['33', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5
"['Flint-Garcia', 'SA', ',', 'Thornsberry', 'JM', ',', 'Buckler', 'ES', '(', '2003', ')', 'Structure', 'linkage', 'disequilibrium', 'plant', '.']","[0, 0, 0.18865119181891832, 0.2409388058496741, 0, 0, 0, 0, 0, 0]",5
"['Annu', 'Rev', 'Plant', 'Biol', '54', ':', '357–374', '.']","[0, 0, 0, 0.608117630037742, 0, 0, 0, 0, 0, 0]",3
"['34', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
"['Mangin', 'B', ',', 'Siberchicot', ',', 'Nicolas', ',', 'Doligez', ',', 'P', ',', 'et', 'al', '.']","[0, 0.5195894488161628, 0, 0, 0, 0, 0, 0.5195894488161628, 0, 0.5195894488161628]",2
"['(', '2012', ')', 'Novel', 'measure', 'linkage', 'disequilibrium', 'correct', 'bias', 'due', 'population', 'structure', 'relatedness', '.']","[0, 0, 0.2143638789711069, 0, 0, 0, 0, 0, 0, 0]",2
"['Heredity', '108', ':', '285–291', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
"['35', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0]",8
"['Vigouroux', ',', 'Jaqueth', 'JS', ',', 'Matsuoka', ',', 'Smith', 'OS', ',', 'Beavis', 'WD', ',', 'et', 'al', '.']","[0, 0.3947728107637472, 0, 0, 0, 0, 0, 0.3947728107637472, 0, 0.3947728107637472]",9
"['(', '2002', ')', 'Rate', 'pattern', 'mutation', 'microsatellite', 'locus', 'maize', '.']","[0, 0.23486881044369157, 0, 0, 0, 0, 0.5011589870251059, 0, 0, 0]",0
"['Mol', 'Biol', 'Evol', '19', ':', '1251–1260', '.']","[0, 0, 0, 0.34650518377333883, 0, 0, 0, 0, 0, 0]",9
"['36', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
"['Gore', ',', 'Chia', 'J-M', ',', 'Elshire', 'RJ', ',', 'Sun', 'Q', ',', 'Ersoz', 'ES', ',', 'et', 'al', '.']","[0, 0.4273674908851303, 0, 0, 0, 0, 0, 0.4273674908851303, 0, 0.4273674908851303]",2
"['(', '2009', ')', 'first-', 'generation', 'haplotype', 'map', 'maize', '.']","[0, 0.26682803431917346, 0, 0, 0, 0, 0.26682803431917346, 0, 0, 0]",6
"['Science', '326', ':', '1115–1117', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3
"['37', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
"['Kang', 'HM', ',', 'Zaitlen', 'NA', ',', 'Wade', 'CM', ',', 'Kirby', ',', 'Heckerman', ',', 'et', 'al', '.']","[0, 0.3780439767142273, 0, 0, 0, 0, 0, 0.3780439767142273, 0, 0.3780439767142273]",2
"['(', '2008', ')', 'Efficient', 'control', 'population', 'structure', 'model', 'organism', 'association', 'mapping', '.']","[0, 0, 0.24776378724844725, 0, 0, 0, 0.24678416894387623, 0, 0.24678416894387623, 0]",0
"['Genetics', '178', ':', '1709–1723', '.']","[0, 0, 0, 0.34145241675024013, 0, 0, 0, 0, 0, 0]",8
"['38', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
"['Loiselle', 'BA', ',', 'Sork', 'VL', ',', 'Nason', 'J', ',', 'Graham', 'C', '(', '1995', ')', 'Spatial', 'genetic', 'structure', 'tropical', 'understory', 'shrub', ',', 'Psychotria', 'officinalis', '(', 'Rubiaceae', ')', '.']","[0, 0, 0.27864135038822985, 0, 0, 0, 0, 0, 0, 0]",3
"['J', 'Bot', ':', '1420–', '1425', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3
"['39', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",9
"['Maenhout', ',', 'De', 'Baets', 'B', ',', 'Haesaert', 'G', '(', '2009', ')', 'CoCoa', ':', 'software', 'tool', 'estimating', 'coefficient', 'coancestry', 'multilocus', 'genotype', 'data', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
"['Bioinformatics', '25', ':', '2753–2754', '.']","[0, 0.4811924501259907, 0, 0, 0, 0, 0, 0, 0.40357999652617305, 0]",4
"['40', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4
"['Pritchard', 'JK', ',', 'Stephens', ',', 'Donnelly', 'P', '(', '2000', ')', 'Inference', 'population', 'structure', 'using', 'multilocus', 'genotype', 'data', '.']","[0, 0, 0.1851646895491136, 0, 0, 0, 0, 0, 0, 0]",2
"['Genetics', '155', ':', '945–959', '.']","[0, 0, 0, 0.3292981510892515, 0, 0, 0, 0, 0, 0]",3
"['41', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"['Falush', ',', 'Stephens', ',', 'Pritchard', 'JK', '(', '2003', ')', 'Inference', 'population', 'structure', 'using', 'multilocus', 'genotype', 'data', ':', 'linked', 'locus', 'correlated', 'allele', 'frequency', '.']","[0, 0, 0.16420640300883724, 0, 0, 0.1697849944458702, 0.16486556134003827, 0, 0, 0]",2
"['Genetics', '164', ':', '1567–1587', '.']","[0, 0, 0, 0.3292981510892515, 0, 0, 0, 0, 0, 0]",7
"['42', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0]",9
"['Alexander', 'DH', ',', 'Novembre', 'J', ',', 'Lange', 'K', '(', '2009', ')', 'Fast', 'model-based', 'estimation', 'ancestry', 'unrelated', 'individual', '.']","[0, 0, 0, 0, 0, 0, 0.17361153702541562, 0, 0, 0]",8
"['Genome', 'Res', '19', ':', '1655–1664', '.']","[0, 0, 0.2577982464693828, 0, 0, 0, 0, 0, 0, 0]",2
"['43', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",9
"['Nei', '(', '1973', ')', 'Analysis', 'gene', 'diversity', 'subdivided', 'population', '.']","[0, 0, 0.2688383032582214, 0, 0, 0, 0, 0, 0, 0]",0
"['Proc', 'Natl', 'Acad', 'Sci', 'USA', '70', ':', '3321–3323', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6
"['44', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['Nei', '(', '1987', ')', 'Molecular', 'evolutionary', 'genetics', ':', 'Columbia', 'University', 'Press', '.']","[0, 0, 0, 0.24027868379692005, 0, 0, 0, 0, 0, 0]",0
"['45', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",9
"['Weir', 'BS', ',', 'Cockerham', 'CC', '(', '1984', ')', 'Estimating', 'F-statistics', 'analysis', 'population', 'structure', '.']","[0, 0, 0.19425310460969364, 0, 0, 0, 0, 0, 0, 0]",9
"['Evolution', '38', ':', '1358–1370', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",9
"['46', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",8
"['Goudet', 'J', '(', '2005', ')', 'Hierfstat', ',', 'package', 'r', 'compute', 'test', 'hierarchical', 'F-', 'statistic', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['Mol', 'Ecol', 'Notes', '5', ':', '184–186', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
"['47', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4
"['Foll', ',', 'Gaggiotti', '(', '2008', ')', 'genome-scan', 'method', 'identify', 'selected', 'locus', 'appropriate', 'dominant', 'codominant', 'marker', ':', 'bayesian', 'perspective', '.']","[0, 0, 0.2991824375145322, 0, 0.14144637963267512, 0, 0.3041273372801916, 0, 0, 0]",6
"['Genetics', '180', ':', '977–993', '.']","[0, 0, 0, 0.3292981510892515, 0, 0, 0, 0, 0, 0]",2
"['48', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['Balding', 'DJ', '(', '2003', ')', 'Likelihood-based', 'inference', 'genetic', 'correlation', 'coeffi-', 'cients', '.']","[0, 0, 0.185952769519622, 0, 0, 0, 0, 0, 0, 0]",2
"['Theor', 'Popul', 'Biol', '63', ':', '221–230', '.']","[0, 0, 0, 1.1352502511791618, 0.3418749920515162, 0, 0, 0, 0, 0]",3
"['Jeffrey', '(', '1961', ')', 'Theory', 'Probability', ':', 'Clarendon', 'Press', ',', 'Oxford', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6
"['Z', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['49', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6
"['50', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
"['Purcell', ',', 'Neale', 'B', ',', 'Todd-Brown', 'K', ',', 'Thomas', 'L', ',', 'Ferreira', ',', 'et', 'al', '.']","[0, 0.43845961049513754, 0, 0, 0, 0, 0, 0.43845961049513754, 0, 0.43845961049513754]",5
"['(', '2007', ')', 'PLINK', ':', 'tool', 'set', 'whole-genome', 'association', 'population-based', 'linkage', 'analysis', '.']","[0, 0, 0.23262039128329973, 0, 0, 0, 0, 0, 0.23800886166728086, 0]",2
"['J', 'Hum', 'Genet', '81', ':', '559–575', '.']","[0, 0, 0, 0, 0.3286504105314412, 0, 0, 0, 0, 0.3286504105314412]",4
"['51', '.']","[0, 0, 0, 0, 0, 0, 1.0, 0, 0, 0]",6
"['Bates', 'DM', ',', 'Watts', 'DG', '(', '1988', ')', 'Nonlinear', 'regression', 'analysis', 'application', ':', 'Wiley', 'Online', 'Library', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4
"['25', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0]",8
"['Gianola', ',', 'Fernando', 'RL', ',', 'Stella', '(', '2006', ')', 'Genomic-assisted', 'prediction', '52', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
"['Sved', 'JA', '(', '1971', ')', 'Linkage', 'disequilibrium', 'homozygosity', 'chromosome', 'genetic', 'value', 'semiparametric', 'procedure', '.']","[0.2045760256344673, 0, 0.19131694548064, 0, 0, 0.20850815893314262, 0, 0, 0.20850815893314262, 0]",5
"['Genetics', '173', ':', '1761.', 'segment', 'finite', 'population', '.']","[0, 0, 0, 0.28228674469816883, 0, 0, 0, 0, 0, 0]",2
"['Theor', 'Popul', 'Biol', '2', ':', '125–141', '.']","[0, 0, 0, 1.2195179985177809, 0.36725180691825265, 0, 0, 0, 0, 0]",3
